Order,Category,Concept,Week,Lecture,Status
166,Model Workflow,Model cards,17,Project Showcase,
167,ML Engineering,Saving and loading models (pickle joblib),17,Supplement,
168,ML Engineering,Experiment tracking (MLflow Weights & Biases),17,Supplement,
169,ML Engineering,Model versioning basics,17,Supplement,
170,ML Engineering,Inference vs training pipelines,17,Supplement,
171,Data Engineering,Data versioning (DVC LakeFS),17,Supplement,
172,Data Engineering,Streaming data pipelines,17,Supplement,
173,Data Engineering,PII handling and data privacy,17,Supplement,
174,MLOps,A/B testing for ML deployments,17,Supplement,
175,MLOps,Shadow deployments and canary releases,17,Supplement,
176,MLOps,Feature stores (Feast Tecton),17,Supplement,
177,MLOps,CI/CD for ML,17,Supplement,
178,MLOps,Containerization (Docker for ML),17,Supplement,
179,MLOps,ML pipelines and orchestration (Airflow Kubeflow Prefect),17,Supplement,
180,Interpretability,Model interpretability (overview),17,Supplement,
181,Interpretability,Global vs local interpretability,17,Supplement,
182,Interpretability,Partial Dependence Plots (PDP),17,Supplement,
183,Interpretability,Individual Conditional Expectation (ICE),17,Supplement,
184,Interpretability,Accumulated Local Effects (ALE),17,Supplement,
185,Interpretability,SHAP values,17,Supplement,
186,Interpretability,LIME,17,Supplement,
187,Interpretability,Surrogate models,17,Supplement,
188,Interpretability,Counterfactual explanations,17,Supplement,
189,Interpretability,Fairness metrics (demographic parity / equalized odds),17,Supplement,
190,Interpretability,Adversarial examples,17,Supplement,
191,Active Learning & Weak Supervision,Active learning query strategies,17,Supplement,
192,Active Learning & Weak Supervision,Uncertainty sampling,17,Supplement,
193,Active Learning & Weak Supervision,Semi-supervised learning (pseudo-labels FixMatch),17,Supplement,
194,Active Learning & Weak Supervision,Weak supervision (Snorkel distant supervision),17,Supplement,
195,Active Learning & Weak Supervision,Label noise handling (Cleanlab),17,Supplement,
196,Unsupervised Learning,Clustering vs classification,18,L13,
197,Unsupervised Learning,k-means (Lloyd's algorithm),18,L13,
198,Unsupervised Learning,Choosing k (elbow plot),18,L13,
199,Unsupervised Learning,Silhouette score,18,L13,
200,Unsupervised Learning,DBSCAN (eps and minPts),18,L13,
201,Unsupervised Learning,Hierarchical clustering,18,L13,
202,Unsupervised Learning,Dendrograms,18,L13,
203,Anomaly Detection,Anomaly detection setup,18,Supplement,
204,Anomaly Detection,Isolation Forest,18,Supplement,
205,Anomaly Detection,One-class SVM,18,Supplement,
206,Anomaly Detection,Autoencoder-based anomaly detection,18,Supplement,
207,Dimensionality Reduction,Why reduce dimensions,19,L13b,
208,Dimensionality Reduction,PCA via variance maximization,19,L13b,
209,Dimensionality Reduction,Eigendecomposition of covariance,19,L13b,
210,Dimensionality Reduction,Explained variance ratio,19,L13b,
211,Dimensionality Reduction,Need for feature scaling,19,L13b,
212,Dimensionality Reduction,t-SNE,19,L13b,
213,Dimensionality Reduction,UMAP,19,L13b,
214,Time Series,Time series setup (autoregression intuition),19,Supplement,
215,Time Series,Lag features and rolling statistics,19,Supplement,
216,Time Series,Time-aware train/test split,19,Supplement,
217,Time Series,Stationarity and differencing,19,Supplement,
218,Time Series,ACF and PACF,19,Supplement,
219,Time Series,Seasonality decomposition (STL),19,Supplement,
220,Time Series,ARIMA and exponential smoothing,20,Supplement,
221,Time Series,State space models and Kalman filter,20,Supplement,
222,Time Series,Prophet,20,Supplement,
223,Time Series,Modern deep TS (DeepAR N-BEATS TFT PatchTST),20,Supplement,
224,Time Series,Granger causality,20,Supplement,
225,Causal Inference,Correlation vs causation,20,deferred_causal_inference,
226,Causal Inference,Potential outcomes framework,20,deferred_causal_inference,
227,Causal Inference,Confounders,20,deferred_causal_inference,
228,Causal Inference,Randomized controlled trials,20,deferred_causal_inference,
229,Causal Inference,Difference-in-differences,20,deferred_causal_inference,
230,A/B Testing,A/B testing fundamentals,20,Supplement,
231,A/B Testing,Power analysis,20,Supplement,
232,A/B Testing,Sample size determination,20,Supplement,
233,Neural Networks,Single neuron,21,L14,
234,Neural Networks,Activation functions (sigmoid / tanh),21,L14,
235,Neural Networks,Single hidden layer network,21,L14,
236,Neural Networks,Multilayer feedforward network (MLP),21,L14,
237,Neural Networks,Matrix notation for MLPs,21,L14,
238,Neural Networks,XOR problem,21,L14,
239,Neural Networks,Universal approximation theorem,21,L14,
240,NN Training,Forward pass,22,L15,
241,NN Training,Backpropagation (chain rule on computational graph),22,L15,
242,NN Training,Softmax + cross-entropy for multiclass NNs,22,L15,
243,NN Training,Vanishing gradient problem,22,L15,
244,NN Training,Exploding gradient problem,22,L15,
245,NN Training,Dropout regularization,22,L15,
246,NN Training,Early stopping,22,L15,
247,Self-Supervised Learning,Self-supervised learning paradigm,22,Supplement,
248,Self-Supervised Learning,Contrastive learning (SimCLR MoCo),22,Supplement,
249,Self-Supervised Learning,Masked autoencoders for vision (MAE),22,Supplement,
250,NN Optimization,SGD with momentum,23,L18,
251,NN Optimization,RMSprop,23,L18,
252,NN Optimization,Adam / AdamW,23,L18,
253,NN Optimization,Learning rate schedules,23,L18,
254,NN Optimization,Xavier (Glorot) initialization,23,L18,
255,NN Optimization,He initialization,23,L18,
256,NN Optimization,ReLU and variants (Leaky ReLU GELU),23,L18,
257,NN Optimization,Batch normalization,23,L18,
258,DL Training Tricks,Gradient clipping,23,Supplement,
259,DL Training Tricks,Mixed precision training,23,Supplement,
260,DL Training Tricks,Gradient accumulation,23,Supplement,
261,Model Efficiency,Knowledge distillation,23,Supplement,
262,Model Efficiency,Model pruning (structured and unstructured),23,Supplement,
263,Model Efficiency,Quantization (post-training and QAT),23,Supplement,
264,CNNs,Convolution operation,24,L16,
265,CNNs,Channels filters strides padding,24,L16,
266,CNNs,Pooling (max and average),24,L16,
267,CNNs,Translation equivariance,24,L16,
268,CNNs,Classic architectures (LeNet AlexNet VGG),24,L16,
269,CNNs,ResNet and skip connections,24,L16,
270,CNNs,Transfer learning,24,L16,
271,CNNs,Dilated and transposed convolutions,24,L16,
272,Vision DL,Data augmentation (random crops flips mixup cutmix),24,Supplement,
273,Vision DL,Vision Transformers (ViT),24,Supplement,
274,Vision DL,CLIP and multimodal models,24,Supplement,
275,Specialized Metrics,Intersection over Union (IoU),24,Supplement,
276,Specialized Metrics,Mean Average Precision for object detection (mAP),24,Supplement,
277,RNNs,Sequential data,25,L17,
278,RNNs,Vanilla RNN cell,25,L17,
279,RNNs,Backpropagation through time (BPTT),25,L17,
280,RNNs,LSTM gates (input forget output),25,L17,
281,RNNs,GRU,25,L17,
282,RNNs,Sequence-to-sequence,25,L17,
283,RNNs,Attention as soft lookup,25,L17,
284,Classical NLP,Bag of words,25,Supplement,
285,Classical NLP,N-grams,25,Supplement,
286,Classical NLP,TF-IDF,25,Supplement,
287,Classical NLP,Statistical language models,25,Supplement,
288,Classical NLP,Hidden Markov Models for sequence labeling,25,Supplement,
289,Classical NLP,Conditional Random Fields (CRFs),25,Supplement,
290,Classical NLP,Topic modeling (LDA LSA NMF),25,Supplement,
291,Classical NLP,Dependency parsing,25,Supplement,
292,NLP Foundations,Word embeddings (word2vec GloVe FastText),25,Supplement,
293,NLP Foundations,Sentence embeddings,26,Supplement,
294,NLP Foundations,Named Entity Recognition / sequence labeling,26,Supplement,
295,Transformers,Self-attention,26,dl4nlp/02_transformers,
296,Transformers,Multi-head attention,26,dl4nlp/02_transformers,
297,Transformers,Positional encoding,26,dl4nlp/02_transformers,
298,Transformers,Encoder-decoder architecture,26,dl4nlp/02_transformers,
299,Transformers,Layer normalization,26,dl4nlp/02_transformers,
300,Transformers,BERT (encoder-only),26,dl4nlp/04_bert,
301,Transformers,GPT (decoder-only),26,dl4nlp/07_gpt,
302,Specialized Metrics,Perplexity (language models),26,Supplement,
303,Tokenization,Word vs subword vs character tokenization,27,dl4nlp/03_tokenization,
304,Tokenization,Byte-Pair Encoding (BPE),27,dl4nlp/03_tokenization,
305,Tokenization,WordPiece and SentencePiece,27,dl4nlp/03_tokenization,
306,Tokenization,Vocabulary tradeoffs,27,dl4nlp/03_tokenization,
307,Decoding,Greedy decoding,27,dl4nlp/04_decoding_strategies,
308,Decoding,Beam search,27,dl4nlp/04_decoding_strategies,
309,Decoding,Temperature sampling,27,dl4nlp/04_decoding_strategies,
310,Decoding,Top-k sampling,27,dl4nlp/04_decoding_strategies,
311,Decoding,Top-p (nucleus) sampling,27,dl4nlp/04_decoding_strategies,
312,Specialized Metrics,BLEU score (translation),27,Supplement,
313,Specialized Metrics,ROUGE (summarization),27,Supplement,
314,Specialized Metrics,METEOR (translation),27,Supplement,
315,LLM Training,Self-supervised pretraining,28,dl4nlp/07_pretraining_finetuning,
316,LLM Training,Next-token prediction,28,dl4nlp/07_pretraining_finetuning,
317,LLM Training,Masked language modeling,28,dl4nlp/07_pretraining_finetuning,
318,LLM Training,Fine-tuning,28,dl4nlp/07_pretraining_finetuning,
319,LLM Training,Instruction tuning,28,dl4nlp/07_pretraining_finetuning,
320,LLM Adaptation,Zero-shot vs few-shot prompting,28,dl4nlp/08_prompting,
321,LLM Adaptation,In-context learning,28,dl4nlp/08_prompting,
322,LLM Adaptation,Chain-of-thought prompting,28,dl4nlp/08_prompting,
323,LLM Adaptation,LoRA and PEFT,28,dl4nlp/07_pretraining_finetuning,
324,LLM Adaptation,PEFT methods (Prefix tuning P-tuning IA3),28,Supplement,
325,LLM Engineering,KV cache,28,Supplement,
326,LLM Engineering,KV cache quantization (Q8 Q4),28,Supplement,
327,LLM Engineering,FlashAttention and FlashAttention 3,28,Supplement,
328,LLM Engineering,Speculative decoding,28,Supplement,
329,LLM Engineering,Continuous batching,28,Supplement,
330,LLM Engineering,Prefix caching,28,Supplement,
331,LLM Engineering,Quantization formats (FP16 FP8 GPTQ AWQ GGUF),28,Supplement,
332,LLM Engineering,Long-context techniques (RoPE scaling ALiBi sliding window),28,Supplement,
333,LLM Engineering,Tensor parallelism,28,Supplement,
334,LLM Engineering,Pipeline parallelism,28,Supplement,
335,Generative Models,Autoencoders (vanilla),28,Supplement,
336,Generative Models,Denoising autoencoders,28,Supplement,
337,Generative Models,Variational Autoencoders (VAEs),29,Supplement,
338,Generative Models,Generative Adversarial Networks (GANs),29,Supplement,
339,Generative Models,Diffusion models (DDPM conceptual),29,Supplement,
340,Specialized Metrics,Frechet Inception Distance (FID),29,Supplement,
341,Specialized Metrics,Inception Score (IS),29,Supplement,
342,Specialized Metrics,CLIP score (text-image alignment),29,Supplement,
343,Retrieval & Safety,Hallucinations in LLMs,29,dl4nlp/09_hallucinations,
344,Retrieval & Safety,Text embeddings,29,dl4nlp/12_rag,
345,Retrieval & Safety,Vector databases,29,dl4nlp/12_rag,
346,Retrieval & Safety,Retrieval-augmented generation (RAG),29,dl4nlp/12_rag,
347,Retrieval & Safety,RLHF and alignment,29,dl4nlp/10_rlhf,
348,Agentic Systems,Tool calling / function calling,29,Supplement,
349,Agentic Systems,ReAct pattern,29,Supplement,
350,Agentic Systems,Multi-agent systems,29,Supplement,
351,Agentic Systems,Agent memory architectures,29,Supplement,
352,Agentic Systems,Code execution agents,29,Supplement,
353,Agentic Systems,Planning and reflection patterns,29,Supplement,
354,Agentic Systems,Prompt injection and jailbreak defenses,29,Supplement,
355,Agentic Systems,Agent evaluation,29,Supplement,
356,Multimodal,Vision-language models (LLaVA Qwen-VL Gemini),29,Supplement,
357,Multimodal,Audio-language models (Whisper AudioLM),29,Supplement,
358,Multimodal,Text-to-image (Stable Diffusion DALL-E Imagen),29,Supplement,
359,Multimodal,Text-to-video (Sora-class),29,Supplement,
360,Multimodal,Speech recognition (ASR),29,Supplement,
361,Multimodal,Text-to-speech (TTS),29,Supplement,
362,Model Efficiency,Neural Architecture Search (NAS),29,Supplement,
363,Model Efficiency,AutoML platforms,29,Supplement,
364,MLOps,Model serving frameworks (vLLM Ray Serve BentoML TorchServe TGI),30,Supplement,
365,MLOps,ONNX / TorchScript / TensorRT (compilation),30,Supplement,
366,MLOps,Distributed training (data parallel model parallel ZeRO FSDP),30,Supplement,
367,MLOps,Data drift detection,30,Supplement,
368,MLOps,Concept drift,30,Supplement,
369,MLOps,Model monitoring in production,30,Supplement,
370,Specialized Metrics,Normalized Discounted Cumulative Gain (NDCG),30,Supplement,
371,Specialized Metrics,Mean Average Precision for ranking (MAP@k),30,Supplement,
372,Specialized Metrics,Mean Reciprocal Rank (MRR),30,Supplement,
373,Specialized Metrics,Word Error Rate (WER speech),30,Supplement,
374,Applied (optional),Recommender systems (collaborative filtering matrix factorization) (optional),30,Supplement,
375,Applied (optional),Reinforcement learning basics (MDP Q-learning policy gradient) (optional),30,Supplement,
376,Applied (optional),Multi-armed bandits (optional),30,Supplement,
